veh_trip_dtl_id,veh_trip_id,seq_no,time,lat,lng,alt,bearing,speed,accuracy,drv_distance,drv_duration,drv_speed,create_ts
26518302,25670,0,"2017-03-24 07:49:07",NULL,NULL,NULL,NULL,0,-1,0,0,0,"2017-03-24 07:49:22"
26518303,25670,1,"2017-03-24 07:49:08",NULL,NULL,NULL,NULL,0,-1,67,628,5,"2017-03-24 07:49:22"
26518304,25670,2,"2017-03-24 07:49:09",NULL,NULL,NULL,NULL,0,-1,253,1957,5,"2017-03-24 07:49:22"
26518305,25670,3,"2017-03-24 07:49:10",NULL,NULL,NULL,NULL,0,-1,393,2957,5,"2017-03-24 07:49:22"
26518306,25670,4,"2017-03-24 07:49:11",NULL,NULL,NULL,NULL,0,-1,533,3957,5,"2017-03-24 07:49:22"
26518307,25670,5,"2017-03-24 07:49:12",NULL,NULL,NULL,NULL,0,-1,673,4957,5,"2017-03-24 07:49:22"
26518308,25670,6,"2017-03-24 07:49:13",NULL,NULL,NULL,NULL,0,-1,813,5957,5,"2017-03-24 07:49:22"
26518309,25670,7,"2017-03-24 07:49:14",NULL,NULL,NULL,NULL,0,-1,953,6957,5,"2017-03-24 07:49:22"
26518310,25670,8,"2017-03-24 07:49:15",NULL,NULL,NULL,NULL,0,-1,1041,7580,6,"2017-03-24 07:49:22"
26518311,25670,9,"2017-03-24 07:49:16",NULL,NULL,NULL,NULL,0,-1,1272,8957,6,"2017-03-24 07:49:22"
26518312,25670,10,"2017-03-24 07:49:17",NULL,NULL,NULL,NULL,0,-1,1434,9834,8,"2017-03-24 07:49:22"
26518313,25670,11,"2017-03-24 07:49:18",NULL,NULL,NULL,NULL,0,-1,1648,10754,10,"2017-03-24 07:49:22"
26518314,25670,12,"2017-03-24 07:49:19",NULL,NULL,NULL,NULL,0,-1,1909,11689,11,"2017-03-24 07:49:22"
26518315,25670,13,"2017-03-24 07:49:20",NULL,NULL,NULL,NULL,0,-1,2079,12241,12,"2017-03-24 07:49:22"
26518316,25670,14,"2017-03-24 07:49:21",NULL,NULL,NULL,NULL,0,-1,2530,13555,13,"2017-03-24 07:49:22"
26518317,25670,15,"2017-03-24 07:49:22",NULL,NULL,NULL,NULL,0,-1,3040,14957,13,"2017-03-24 07:49:22"
26518348,25670,16,"2017-03-24 07:49:23",NULL,NULL,NULL,NULL,0,-1,3404,15957,13,"2017-03-24 07:49:37"
26518349,25670,17,"2017-03-24 07:49:24",NULL,NULL,NULL,NULL,0,-1,3655,16648,14,"2017-03-24 07:49:37"
26518350,25670,18,"2017-03-24 07:49:25",NULL,NULL,NULL,NULL,0,-1,4168,17957,14,"2017-03-24 07:49:37"
26518351,25670,19,"2017-03-24 07:49:26",NULL,NULL,NULL,NULL,0,-1,4466,18729,13,"2017-03-24 07:49:37"
26518352,25670,20,"2017-03-24 07:49:27",NULL,NULL,NULL,NULL,0,-1,4817,19702,12,"2017-03-24 07:49:37"
26518353,25670,21,"2017-03-24 07:49:28",NULL,NULL,NULL,NULL,0,-1,5238,20957,12,"2017-03-24 07:49:37"
26518354,25670,22,"2017-03-24 07:49:29",NULL,NULL,NULL,NULL,0,-1,5296,21131,13,"2017-03-24 07:49:37"
26518355,25670,23,"2017-03-24 07:49:30",22.70460666666667,114.17206333333334,71,0,0,9,5911,22775,15,"2017-03-24 07:49:37"
26518356,25670,24,"2017-03-24 07:49:31",22.70467833333333,114.17204333333332,80.6,0,0,9,6326,23765,16,"2017-03-24 07:49:37"
26518357,25670,25,"2017-03-24 07:49:32",22.70467833333333,114.17204333333332,80.6,0,0,9,6859,24956,16,"2017-03-24 07:49:37"
26518358,25670,26,"2017-03-24 07:49:33",22.70464833333333,114.17209166666667,78.2,136.2,3.4579,3.92308,7224,25855,13,"2017-03-24 07:49:37"
26518359,25670,27,"2017-03-24 07:49:34",22.704628333333336,114.17211333333334,76.7,137.16,3.49754,3.80769,7424,26406,12,"2017-03-24 07:49:37"
26518360,25670,28,"2017-03-24 07:49:35",22.70460166666667,114.17213500000001,75.6,137.16,0,9,7876,27717,14,"2017-03-24 07:49:37"
26518361,25670,29,"2017-03-24 07:49:36",22.704565000000002,114.17215666666668,75.3,150.04,4.18418,4.07692,8237,28608,16,"2017-03-24 07:49:37"
26518362,25670,30,"2017-03-24 07:49:37",22.704524999999997,114.17218166666667,75,150.71,4.68963,4.30769,8882,29923,20,"2017-03-24 07:49:37"
26518396,25670,31,"2017-03-24 07:49:38",22.704485,114.17220666666665,74.3,151.52,5.27024,4.65385,9322,30687,22,"2017-03-24 07:49:52"
26518397,25670,32,"2017-03-24 07:49:39",22.704436666666666,114.17222833333332,73.1,157.13,5.80761,4.92308,10062,31863,22,"2017-03-24 07:49:52"
26518398,25670,33,"2017-03-24 07:49:40",22.704385000000002,114.17224833333333,72.7,159.75,5.78857,4.92308,10655,32827,21,"2017-03-24 07:49:52"
26518399,25670,34,"2017-03-24 07:49:41",22.70433166666667,114.17227166666667,72.7,161.85,6.39285,4.15152,10822,33109,21,"2017-03-24 07:49:52"
26518400,25670,35,"2017-03-24 07:49:42",22.704288333333338,114.172305,72.9,156.03,5.9996,5.03846,11780,34779,19,"2017-03-24 07:49:52"
26518401,25670,36,"2017-03-24 07:49:43",22.704238333333333,114.17232833333334,73,157.32,5.60996,4.76923,12394,35935,18,"2017-03-24 07:49:52"
26518402,25670,37,"2017-03-24 07:49:44",22.70419,114.17235000000001,73,156.83,5.37267,4.65385,12486,36114,18,"2017-03-24 07:49:52"
26518403,25670,38,"2017-03-24 07:49:45",22.704146666666663,114.17237333333333,73.2,153.86,5.16369,4.53846,13320,37730,20,"2017-03-24 07:49:52"
26518404,25670,39,"2017-03-24 07:49:46",22.70411166666667,114.17239833333333,73.4,150.69,4.93824,4.42308,13919,38789,20,"2017-03-24 07:49:52"
26518405,25670,40,"2017-03-24 07:49:47",22.704073333333334,114.17242666666668,73.6,148.29,5.17708,4.53846,14457,39750,19,"2017-03-24 07:49:52"
26518406,25670,41,"2017-03-24 07:49:48",22.704041666666665,114.17245833333332,74.3,145.45,5.14465,4.53846,15098,40956,19,"2017-03-24 07:49:52"
26518407,25670,42,"2017-03-24 07:49:49",22.70400833333333,114.17249666666666,74.5,139.76,5.29958,4.65385,15429,41579,20,"2017-03-24 07:49:52"
26518408,25670,43,"2017-03-24 07:49:50",22.703969999999995,114.17253166666666,74.8,135.22,5.48231,4.76923,15861,42349,21,"2017-03-24 07:49:52"
26518409,25670,44,"2017-03-24 07:49:51",22.703944999999997,114.17258666666666,74.5,127.9,5.72526,4.84615,16588,43560,23,"2017-03-24 07:49:52"
26518410,25670,45,"2017-03-24 07:49:52",22.70391833333333,114.17263499999999,74.3,126.75,5.52657,4.73077,17132,44406,22,"2017-03-24 07:49:52"
26518438,25670,46,"2017-03-24 07:49:53",22.703898333333335,114.17268333333335,74.2,121.31,5.27642,4.61538,17759,45425,21,"2017-03-24 07:50:07"
26518439,25670,47,"2017-03-24 07:49:54",22.70388833333333,114.17273666666667,73.9,110.24,5.2162,4.57692,18354,46443,20,"2017-03-24 07:50:07"
26518440,25670,48,"2017-03-24 07:49:55",22.70388666666667,114.17279500000001,73.9,100.62,5.23061,4.57692,19168,47954,17,"2017-03-24 07:50:07"
26518441,25670,49,"2017-03-24 07:49:56",22.70389,114.17285166666667,73.9,94.56,5.14568,4.53846,19573,48931,12,"2017-03-24 07:50:07"
26518442,25670,50,"2017-03-24 07:49:57",22.703891666666664,114.17290166666668,73.8,92.67,4.58463,4.19231,19838,49830,9,"2017-03-24 07:50:07"
26518443,25670,51,"2017-03-24 07:49:58",22.703891666666664,114.17294166666667,73.6,97.44,3.79041,3.73077,20055,50730,7,"2017-03-24 07:50:07"
26518444,25670,52,"2017-03-24 07:49:59",22.703895000000003,114.17296166666665,72.7,100.23,2.75788,3.15385,20190,51474,5,"2017-03-24 07:50:07"
26518445,25670,53,"2017-03-24 07:50:00",22.703891666666664,114.17298333333335,72.5,97.06,2.3461,2.92308,20397,52954,5,"2017-03-24 07:50:07"
26518446,25670,54,"2017-03-24 07:50:01",22.703898333333335,114.17300833333333,72.1,104.16,1.54417,2.42308,20428,53181,4,"2017-03-24 07:50:07"
26518447,25670,55,"2017-03-24 07:50:02",22.703916666666668,114.17304,71,117.91,1.27342,2.19231,20626,54953,4,"2017-03-24 07:50:07"
26518448,25670,56,"2017-03-24 07:50:03",22.703921666666663,114.173045,69.5,134.09,1.11849,2.07692,20738,55953,4,"2017-03-24 07:50:07"
26518449,25670,57,"2017-03-24 07:50:04",22.703911666666666,114.17305333333334,69.1,149.8,1.34909,2.19231,20849,56946,5,"2017-03-24 07:50:07"
26518450,25670,58,"2017-03-24 07:50:05",22.703903333333333,114.17305999999999,68.7,150.73,1.276,2.11538,20938,57586,5,"2017-03-24 07:50:07"
26518451,25670,59,"2017-03-24 07:50:06",22.703891666666664,114.17306666666667,68.1,151.11,1.43865,2.23077,21125,58910,6,"2017-03-24 07:50:07"
26518452,25670,60,"2017-03-24 07:50:07",22.703881666666668,114.17307333333335,67.6,148.19,1.39747,2.23077,21300,59953,6,"2017-03-24 07:50:07"
26518483,25670,61,"2017-03-24 07:50:08",22.70387333333333,114.17308,67.2,145.15,1.27033,2.15385,21369,60365,7,"2017-03-24 07:50:22"
26518484,25670,62,"2017-03-24 07:50:09",22.70387,114.17308333333334,66.9,144.35,1.19158,2.11538,21680,61953,7,"2017-03-24 07:50:22"
26518485,25670,63,"2017-03-24 07:50:10",22.703860000000002,114.17308499999999,66.8,155.18,1.17768,2.11538,21871,62811,7,"2017-03-24 07:50:22"
26518486,25670,64,"2017-03-24 07:50:11",22.703848333333333,114.17309666666667,66.8,143.89,1.98117,2.53846,22032,63926,3,"2017-03-24 07:50:22"
26518487,25670,65,"2017-03-24 07:50:12",22.703838333333337,114.17310666666665,66.8,150.38,1.8669,2.46154,22104,64784,2,"2017-03-24 07:50:22"
26518488,25670,66,"2017-03-24 07:50:13",22.703825,114.17311333333333,66.8,164.05,1.34497,2.15385,22153,65943,0,"2017-03-24 07:50:22"
26518489,25670,67,"2017-03-24 07:50:14",22.703816666666665,114.17311666666667,66.8,174.28,1.07628,2,22153,65943,0,"2017-03-24 07:50:22"
26518490,25670,68,"2017-03-24 07:50:15",22.703813333333333,114.17312166666667,66.9,165.89,0.548694,4.4,22153,65943,0,"2017-03-24 07:50:22"
26518491,25670,69,"2017-03-24 07:50:16",22.703808333333335,114.17312666666666,66.8,144.59,0.680463,4.6,22165,66374,2,"2017-03-24 07:50:22"
26518492,25670,70,"2017-03-24 07:50:17",22.703803333333333,114.17313333333335,66.8,156.38,0.958928,5,22198,66977,3,"2017-03-24 07:50:22"
